Format: board channel/keyword shift
NOTE: Do not delete these lines! If no shift is specified for a channel, no shift is applied. Use keyword 'all' to apply a uniform shift to all channels in a single board. Shifts are in ps.
0 	all 	245091
1 	all 	274460
2 	all 	276000
3	15	457268
3	14	445218
3	13	434262
3	12	419466
3	11	412198
3	10	408400
3	9	403573
3	8	398035
3	7	380469
3	6	383382
3	5	368321
3	4	356266
3	3	358516
3	2	335000
3	1	343868
3	0	345963
4	15	359125
4	14	359788
4	13	365612
4	12	362301
4	11	372021
4	10	371395
4	9	380595
4	8	397017
4	7	392473
4	6	414277
4	5	416708
4	4	424298
4	3	433319
4	2	443089
4	1	455003
4	0	471002
5	15	385088
5	14	395995
5	13	394624
5	12	399746
5	11	413041
5	10	420405
5	9	421554
5	8	428719
5	7	440918
5	6	441466
5	5	453992
5	4	460463
5	3	465363
5	2	480013
5	1	489125
5	0	500361
6	15	397503
6	14	398587
6	13	425000
6	12	406061
6	11	421228
6	10	422920
6	9	429764
6	8	436291
6	7	442362
6	6	443779
6	5	458203
6	4	464475
6	3	476378
6	2	484183
6	1	489977
6	0	503588
7	15	423103
7	14	430535
7	13	447633
7	12	439393
7	11	439393
7	10	451006
7	9	467231
7	8	463550
7	7	475034
7	6	479326
7	5	487053
7	4	494869
7	3	505112
7	2	516803
7	1	524030
7	0	541729
8 0 900000
8 1 900000
